학과,과목명,학년,교수명,이수구분,총 강의시간
컴퓨터공학과,프로그래밍입문A,1,장XX,전공필수,4
컴퓨터공학과,프로그래밍입문B,1,임XX,전공필수,4
컴퓨터공학과,기초공학설계A,1,오XX,전공선택,3
컴퓨터공학과,기초공학설계B,1,오XX,전공선택,3
컴퓨터공학과,컴퓨팅적사고와 문제해결,1,한XX,교양필수,4
컴퓨터공학과,제어SW A,2,강XX,전공필수,4
컴퓨터공학과,제어SW B,2,강XX,전공필수,4
컴퓨터공학과,모바일SW스튜디오,2,장XX,전공선택,4
컴퓨터공학과,알고리즘해석및설계A,2,조XX,전공선택,3
컴퓨터공학과,알고리즘해석및설계B,2,조XX,전공선택,3
컴퓨터공학과,컴퓨터구조론,2,한XX,전공선택,3
컴퓨터공학과,IoT 응용실무A,3,임XX,전공선택,3
컴퓨터공학과,IoT 응용실무B,3,임XX,전공선택,3
컴퓨터공학과,데이터베이스기초A,3,김XX,전공선택,3
컴퓨터공학과,데이터베이스기초B,3,김XX,전공선택,3
컴퓨터공학과,데이터사이언스A,3,정XX,전공선택,3
컴퓨터공학과,데이터사이언스B,3,정XX,전공선택,3
컴퓨터공학과,산학프로젝트II,3,임XX,전공선택,3
컴퓨터공학과,웹SW스튜디오 및 재능기부,3,박XX,전공선택,4
컴퓨터공학과,프로그래밍언어와컴파일러A,3,이XX,전공선택,4
컴퓨터공학과,프로그래밍언어와컴파일러B,3,이XX,전공선택,4
컴퓨터공학과,제어SW프로젝트,3,강XX,전공선택,3
컴퓨터공학과,블록체인기술,4,최XX,전공선택,3